amplitude,brightness,brightness_estimate,tissue_activation_estimate
1e-05,0.04,0.11653672158718109,0.0
2e-05,0.08,0.11653672158718109,0.0
3e-05,0.2,0.17564991116523743,2.5037856232756894e-08
4e-05,0.36,0.31865283846855164,6.608350844317101e-08
5e-05,0.48,0.5065404176712036,1.0712917486443985e-07
6e-05,0.8,0.6925985217094421,1.481748199694266e-07
7e-05,0.8,0.8317987322807312,1.8922051481240487e-07
8e-05,0.8,0.9156424403190613,2.302661812336737e-07
9e-05,1.0,0.9597164392471313,2.713118192332331e-07
0.0001,0.92,0.9812352061271667,3.123574572327925e-07
