time,y_el_2,y_el_21,y_el_25,y_el_28,y_el_3,y_mean,y_std,y_sem,conf_95_lower,conf_95_upper,predicted_sigma_,predicted_activation_,predicted_brightness_
0,1.0,1.0,1.0,,,1.0,0.0,0.0,0.999999999997996,1.000000000002004,0.014079296630263844,9.816228132048261e-08,0.4636700295652317
4,0.8800000000000001,0.7,1.0,,,0.86,0.150996688705415,0.0871779788708135,0.685291426353184,1.034708573646816,0.014079296630263844,9.480167622910144e-08,0.44770670418852165
8,1.06,0.6799999999999999,0.92,,,0.8866666666666667,0.192180470738661,0.1109554465139549,0.6643069830649526,1.1090263502683808,0.014079296630263844,9.156294757309028e-08,0.4324232548469319
12,1.0,0.64,0.9,,,0.8466666666666667,0.1858314648635513,0.1072898462628738,0.6316530101203337,1.0616803232129997,0.014079296630263844,8.844167535722354e-08,0.41781446430089336
16,0.8800000000000001,0.64,0.8,,,0.7733333333333334,0.1222020185321557,0.0705533682950557,0.631941223760491,0.914725442906176,0.014079296630263844,8.54335998806134e-08,0.40387033929262967
20,0.82,0.64,0.8400000000000001,,,0.7666666666666666,0.110151410945722,0.0635959467611297,0.6392175414137424,0.8941157919195908,0.014079296630263844,8.253461592561385e-08,0.3905769910175596
24,0.82,0.6,0.7,,,0.7066666666666667,0.110151410945722,0.0635959467611297,0.5792175414137426,0.8341157919195907,0.014079296630263844,7.974076715529799e-08,0.37791743059773336
28,0.76,0.62,0.76,,,0.7133333333333333,0.0808290376865476,0.0466666666666666,0.6198112435135208,0.8068554231531457,0.014079296630263844,7.7048240714117e-08,0.3658722757125332
32,0.76,0.62,0.6,,,0.66,0.0871779788708134,0.0503322295684716,0.5591319579744283,0.7608680420255718,0.014079296630263844,7.445336202437356e-08,0.3544203687068816
36,0.74,0.6,0.6599999999999999,,,0.6666666666666666,0.0702376916856849,0.0405517502019881,0.5853991432790984,0.7479341900542349,0.014079296630263844,7.195258977140687e-08,0.343539309516837
40,0.7,0.6,0.6799999999999999,,,0.6599999999999999,0.0529150262212918,0.0305505046330389,0.5987754206064865,0.7212245793935134,0.014079296630263844,6.954251107064619e-08,0.3332059087976851
44,0.7,0.58,0.6799999999999999,,,0.6533333333333332,0.0642910050732863,0.0371184290855334,0.5789463392134746,0.7277203274531918,0.014079296630263844,6.721983680993763e-08,0.32339656789577476
48,0.6799999999999999,0.54,0.6799999999999999,,,0.6333333333333333,0.0808290376865475,0.0466666666666666,0.5398112435135208,0.7268554231531458,0.014079296630263844,6.498139716078603e-08,0.3140875929463712
52,0.6799999999999999,0.52,0.72,,,0.64,0.1058300524425835,0.0611010092660778,0.5175508412149772,0.7624491587850228,0.014079296630263844,6.282413725238845e-08,0.30525545055980596
56,0.6799999999999999,0.5,0.6599999999999999,,,0.6133333333333333,0.0986576572463249,0.0569600249687835,0.499182892520861,0.7274837741458056,0.014079296630263844,6.074511300255295e-08,0.29687697240757854
60,0.64,0.5,0.6,,,0.5800000000000001,0.0721110255092798,0.0416333199893226,0.4965649623239604,0.6634350376760397,0.014079296630263844,5.874148709981456e-08,0.2889295156452336
64,0.64,0.5,0.64,,,0.5933333333333334,0.0808290376865476,0.0466666666666666,0.4998112435135208,0.6868554231531458,0.014079296630263844,5.681052513126527e-08,0.2813910855935791
68,0.64,0.48,0.64,,,0.5866666666666668,0.0923760430703401,0.0533333333333333,0.479784278301453,0.6935490550318805,0.014079296630263844,5.494959185081218e-08,0.2742404265080243
72,0.64,0.48,0.6,,,0.5733333333333334,0.0832666399786453,0.0480740170061865,0.4769908504094273,0.6696758162572394,0.014079296630263844,5.315614758277222e-08,0.26745708564462195
76,0.6,0.4599999999999999,0.6599999999999999,,,0.5733333333333334,0.1026320287889376,0.0592546294487705,0.4545844023864247,0.692082264280242,0.014079296630263844,5.142774475589468e-08,0.26102145521406145
80,0.6,0.44,0.76,,,0.6,0.1599999999999999,0.0923760430703401,0.4148742729186083,0.7851257270813916,0.014079296630263844,4.976202456308223e-08,0.2549147962238838
84,0.6,0.44,0.58,,,0.54,0.0871779788708134,0.0503322295684716,0.4391319579744283,0.6408680420255717,0.014079296630263844,4.8156713742250396e-08,0.24911924765862986
88,0.5599999999999999,0.44,0.54,,,0.5133333333333333,0.0642910050732863,0.0371184290855334,0.4389463392134747,0.5877203274531919,0.014079296630263844,4.660962147393281e-08,0.2436178239453832
92,0.54,0.42,0.5,,,0.4866666666666666,0.0611010092660778,0.0352766841475278,0.4159706118792434,0.5573627214540898,0.014079296630263844,4.5118636391400675e-08,0.23839440320152744
96,0.54,0.4,0.5,,,0.48,0.0721110255092798,0.0416333199893226,0.3965649623239604,0.5634350376760396,0.014079296630263844,4.3681723699211604e-08,0.23343370836266472
100,0.52,0.38,0.52,,,0.4733333333333333,0.0808290376865476,0.0466666666666666,0.3798112435135208,0.5668554231531459,0.014079296630263844,4.229692239625812e-08,0.22872128293967156
104,0.52,0.38,0.52,,,0.4733333333333333,0.0808290376865476,0.0466666666666666,0.3798112435135208,0.5668554231531459,0.014079296630263844,4.096234259952759e-08,0.22424346285148058
108,0.48,0.38,0.52,,,0.4599999999999999,0.0721110255092798,0.0416333199893226,0.3765649623239603,0.5434350376760396,0.014079296630263844,3.9676162964916934e-08,0.2199873455204004
112,0.48,0.36,0.5599999999999999,,,0.4666666666666666,0.1006644591369433,0.0581186525805423,0.3501942842347879,0.5831390490985453,0.014079296630263844,3.843662820158529e-08,0.21594075719538183
116,0.48,0.36,0.48,,,0.4399999999999999,0.069282032302755,0.04,0.3598382087255887,0.5201617912744112,0.014079296630263844,3.7242046676452766e-08,0.21209221928118357
120,0.4599999999999999,0.3399999999999999,0.48,,,0.4266666666666666,0.0757187779440036,0.04371625682868,0.3390573302868727,0.5142760030464605,0.014079296630263844,3.609078810557386e-08,0.20843091429373659
124,0.44,0.3399999999999999,0.44,,,0.4066666666666667,0.0577350269189626,0.0333333333333333,0.3398651739376566,0.4734681593956769,0.014079296630263844,3.498128132923635e-08,0.20494665193025274
128,0.42,0.32,0.44,,,0.3933333333333333,0.0642910050732863,0.0371184290855334,0.3189463392134747,0.467720327453192,0.014079296630263844,3.391201216774902e-08,0.2016298356331482
132,0.42,0.32,0.44,,,0.3933333333333333,0.0642910050732863,0.0371184290855334,0.3189463392134747,0.467720327453192,0.014079296630263844,3.288152135499163e-08,0.1984714299364437
136,0.42,0.32,0.42,,,0.3866666666666667,0.0577350269189625,0.0333333333333333,0.3198651739376566,0.4534681593956768,0.014079296630263844,3.188840254690747e-08,0.19546292880911467
140,0.42,0.2799999999999999,0.44,,,0.38,0.0871779788708135,0.0503322295684717,0.2791319579744282,0.4808680420255719,0.014079296630263844,3.093130040222059e-08,0.19259632514935746
144,0.42,0.2799999999999999,0.42,,,0.3733333333333333,0.0808290376865476,0.0466666666666666,0.2798112435135208,0.4668554231531459,0.014079296630263844,3.0008908732756786e-08,0.18986408153474557
148,0.4,0.2799999999999999,0.4,,,0.36,0.0692820323027551,0.04,0.2798382087255887,0.4401617912744113,0.014079296630263844,2.9119968720847847e-08,0.18725910229390788
152,0.4,0.26,0.4,,,0.3533333333333333,0.0808290376865476,0.0466666666666666,0.2598112435135208,0.4468554231531458,0.014079296630263844,2.826326720138166e-08,0.18477470693399384
156,0.38,0.26,0.36,,,0.3333333333333333,0.0642910050732863,0.0371184290855334,0.2589463392134746,0.407720327453192,0.014079296630263844,2.7437635006156815e-08,0.18240460493351573
160,0.38,0.26,0.38,,,0.34,0.069282032302755,0.04,0.2598382087255887,0.4201617912744113,0.014079296630263844,2.6641945368280542e-08,0.1801428718909262
164,0.36,0.26,0.36,,,0.3266666666666666,0.0577350269189625,0.0333333333333333,0.2598651739376566,0.3934681593956767,0.014079296630263844,2.587511238443469e-08,0.1779839270045782
168,0.36,0.26,0.36,,,0.3266666666666666,0.0577350269189625,0.0333333333333333,0.2598651739376566,0.3934681593956767,0.014079296630263844,2.513608953290752e-08,0.17592251184865224
172,0.36,0.26,0.36,,,0.3266666666666666,0.0577350269189625,0.0333333333333333,0.2598651739376566,0.3934681593956767,0.014079296630263844,2.4423868245372056e-08,0.17395367040158888
176,0.3399999999999999,0.26,0.3399999999999999,,,0.3133333333333333,0.04618802153517,0.0266666666666666,0.2598921391497245,0.3667745275169421,0.014079296630263844,2.3737476530460278e-08,0.17207273027790057
180,0.3399999999999999,0.24,0.36,,,0.3133333333333333,0.0642910050732863,0.0371184290855334,0.2389463392134746,0.3877203274531919,0.014079296630263844,2.3075977647255237e-08,0.17027528511051607
184,0.32,0.24,,,,0.28,0.0565685424949238,0.04,0.1998382087255887,0.3601617912744113,0.014079296630263844,2.243846882689064e-08,0.16855717802862957
188,0.32,0.24,,,,0.28,0.0565685424949238,0.04,0.1998382087255887,0.3601617912744113,0.014079296630263844,2.1824080040512844e-08,0.16691448617505228
192,0.3,0.24,,,,0.27,0.0424264068711928,0.03,0.2098786565436905,0.3301213434563095,0.014079296630263844,2.123197281192424e-08,0.1653435062070421
196,0.3,0.24,,,,0.27,0.0424264068711928,0.03,0.2098786565436905,0.3301213434563095,0.014079296630263844,2.066133907328822e-08,0.16384074072529048
200,,0.26,,0.48,0.4,0.38,0.1113552872566004,0.0642910050732863,0.2511579467635446,0.5088420532364555,0.014079296630263844,2.0111400062332326e-08,0.1624028855769915
400,,0.38,,0.52,0.76,0.5533333333333333,0.1921804707386609,0.1109554465139549,0.3309736497316193,0.7756930169350473,0.014079296630263844,2.703170320503898e-08,0.18124800601474972
600,,0.26,,0.3399999999999999,0.62,0.4066666666666667,0.1890326250501043,0.1091380369582993,0.1879491532013761,0.6253841801319572,0.014079296630263844,3.306871012777679e-08,0.1990423755840398
800,,0.3399999999999999,,0.58,0.62,0.5133333333333333,0.1514375558880073,0.08743251365736,0.3381146605757495,0.6885520060909172,0.014079296630263844,3.833516332117576e-08,0.21561191455352618
1000,,0.24,,0.32,0.52,0.36,0.1442220510185596,0.0832666399786453,0.1931299246499248,0.5268700753500752,0.014079296630263844,4.292941500801566e-08,0.23086529040518103
1200,,0.22,,0.42,0.58,0.4066666666666667,0.1803699901129157,0.104136662345422,0.1979721318961908,0.6153612014371426,0.014079296630263844,4.693726389357916e-08,0.24477600648415776
