table;contact;pulse_width;frequency;amplitude (mA);train_duration
3;B4;1000;50;5;1000
3;C4;1000;50;4;1000
3;C4;500;50;5;1000
3;C4;125;50;6;1000
3;A3;1000;50;5;1000
3;A3;500;50;5;1000
3;B3;1000;50;3;1000
3;B3;500;50;4;1000
3;C3;1000;50;3;1000
3;C3;500;50;4;1000
3;A2;1000;50;3;1000
3;A2;500;50;4;1000
3;B2;1000;50;2;1000
3;B2;500;50;3;1000
3;B2;250;50;5;1000
3;B2;125;50;8;1000
3;C2;1000;50;2;1000
3;C2;500;50;3;1000
3;C2;250;50;5;1000
3;C2;125;50;7;1000
3;C2;62;50;12;1000
3;A1;1000;50;3;1000
3;A1;500;50;4;1000
3;C1;1000;50;3;1000
3;C1;500;50;3;1000
3;C1;250;50;5;1000
3;C1;125;50;6;1000
4;A4;500;200;5;1000
4;B4;500;200;5;1000
4;B4;500;50;5;1000
4;C4;500;200;3;1000
4;C4;500;50;4;1000
4;C4;500;25;4;1000
4;C4;500;12;8;1000
4;A3;500;200;2;1000
4;A3;500;50;4;1000
4;B3;500;200;2;1000
4;B3;500;50;4;1000
4;B3;500;25;4;1000
4;C3;500;200;2;1000
4;C3;500;50;4;1000
4;A2;500;200;2;1000
4;A2;500;50;4;1000
4;B2;500;200;2;1000
4;B2;500;50;2;1000
4;C2;500;200;2;1000
4;C2;500;50;2;1000
4;C2;500;25;3;1000
4;A1;500;200;2;1000
4;A1;500;50;4;1000
4;C1;500;200;2;1000
4;C1;500;50;2;1000
5;A4;500;50;8;250
5;B4;500;50;8;250
5;C4;500;50;4;125
5;C4;500;50;8;60
5;A3;500;50;4;500
5;A3;500;50;8;125
5;B3;500;50;4;250
5;B3;500;50;8;125
5;C3;500;50;4;500
5;C3;500;50;8;125
5;A2;500;50;4;250
5;A2;500;50;8;125
5;B2;500;50;4;250
5;B2;500;50;8;125
5;C2;500;50;4;125
5;C2;500;50;8;125
5;A1;500;50;4;500
5;A1;500;50;8;125
5;C1;500;50;4;250
5;C1;500;50;8;125
